COD;CCAA;Tipo_Vivienda;Metrica;Anyo;FK_Periodo;Fecha_Fecha;Valor;Variacion_Interanual_IPV
IPV930;Aragón;General;Variación anual;2007;20;2007-03-31;6,7;17,5439
IPV930;Aragón;General;Variación anual;2007;19;2006-12-31;10,4;55,2239
IPV929;Aragón;General;Variación en lo que va de año;2007;22;2007-09-30;0,9;-91,3462
IPV929;Aragón;General;Variación en lo que va de año;2007;21;2007-06-30;2,0;122,2222
IPV929;Aragón;General;Variación en lo que va de año;2007;20;2007-03-31;1,0;-50,0
IPV929;Aragón;General;Variación en lo que va de año;2007;19;2006-12-31;0,4;-60,0
IPV762;Aragón;Vivienda nueva;Índice;2007;22;2007-09-30;159,19;39697,5
IPV762;Aragón;Vivienda nueva;Índice;2007;21;2007-06-30;156,73;-1,5453
IPV762;Aragón;Vivienda nueva;Índice;2007;20;2007-03-31;155,77;-0,6125
IPV762;Aragón;Vivienda nueva;Índice;2007;19;2006-12-31;152,92;-1,8296
IPV928;Aragón;Vivienda nueva;Variación trimestral;2007;22;2007-09-30;1,6;-98,9537
IPV928;Aragón;Vivienda nueva;Variación trimestral;2007;21;2007-06-30;0,6;-62,5
IPV928;Aragón;Vivienda nueva;Variación trimestral;2007;20;2007-03-31;1,9;216,6667
IPV928;Aragón;Vivienda nueva;Variación trimestral;2007;19;2006-12-31;1,4;-26,3158
IPV927;Aragón;Vivienda nueva;Variación anual;2007;22;2007-09-30;5,5;292,8571
IPV927;Aragón;Vivienda nueva;Variación anual;2007;21;2007-06-30;8,0;45,4545
IPV927;Aragón;Vivienda nueva;Variación anual;2007;20;2007-03-31;10,3;28,75
IPV927;Aragón;Vivienda nueva;Variación anual;2007;19;2006-12-31;10,9;5,8252
IPV926;Aragón;Vivienda nueva;Variación en lo que va de año;2007;22;2007-09-30;5,5;-49,5413
IPV926;Aragón;Vivienda nueva;Variación en lo que va de año;2007;21;2007-06-30;3,9;-29,0909
IPV926;Aragón;Vivienda nueva;Variación en lo que va de año;2007;20;2007-03-31;3,3;-15,3846
IPV926;Aragón;Vivienda nueva;Variación en lo que va de año;2007;19;2006-12-31;1,4;-57,5758
IPV761;Aragón;Vivienda segunda mano;Índice;2007;22;2007-09-30;193,88;13748,5714
IPV761;Aragón;Vivienda segunda mano;Índice;2007;21;2007-06-30;200,98;3,6621
IPV761;Aragón;Vivienda segunda mano;Índice;2007;20;2007-03-31;198,24;-1,3633
IPV761;Aragón;Vivienda segunda mano;Índice;2007;19;2006-12-31;199,49;0,6305
IPV925;Aragón;Vivienda segunda mano;Variación trimestral;2007;22;2007-09-30;-3,5;-101,7545
IPV925;Aragón;Vivienda segunda mano;Variación trimestral;2007;21;2007-06-30;1,4;-140,0
IPV925;Aragón;Vivienda segunda mano;Variación trimestral;2007;20;2007-03-31;-0,6;-142,8571
IPV925;Aragón;Vivienda segunda mano;Variación trimestral;2007;19;2006-12-31;-0,5;-16,6667
IPV924;Aragón;Vivienda segunda mano;Variación anual;2007;22;2007-09-30;-3,3;560,0
IPV924;Aragón;Vivienda segunda mano;Variación anual;2007;21;2007-06-30;3,7;-212,1212
IPV924;Aragón;Vivienda segunda mano;Variación anual;2007;20;2007-03-31;3,7;0,0
IPV924;Aragón;Vivienda segunda mano;Variación anual;2007;19;2006-12-31;9,9;167,5676
IPV923;Aragón;Vivienda segunda mano;Variación en lo que va de año;2007;22;2007-09-30;-3,3;-133,3333
IPV923;Aragón;Vivienda segunda mano;Variación en lo que va de año;2007;21;2007-06-30;0,3;-109,0909
IPV923;Aragón;Vivienda segunda mano;Variación en lo que va de año;2007;20;2007-03-31;-1,1;-466,6667
IPV923;Aragón;Vivienda segunda mano;Variación en lo que va de año;2007;19;2006-12-31;-0,5;-54,5455
IPV760;Asturias, Principado de;General;Índice;2007;22;2007-09-30;146,79;-29458,0
IPV760;Asturias, Principado de;General;Índice;2007;21;2007-06-30;146,73;-0,0409
IPV760;Asturias, Principado de;General;Índice;2007;20;2007-03-31;143,56;-2,1604
IPV760;Asturias, Principado de;General;Índice;2007;19;2006-12-31;138,73;-3,3644
IPV922;Asturias, Principado de;General;Variación trimestral;2007;22;2007-09-30;0,0;-100,0
IPV922;Asturias, Principado de;General;Variación trimestral;2007;21;2007-06-30;2,2;
IPV922;Asturias, Principado de;General;Variación trimestral;2007;20;2007-03-31;3,5;59,0909
IPV922;Asturias, Principado de;General;Variación trimestral;2007;19;2006-12-31;2,6;-25,7143
IPV921;Asturias, Principado de;General;Variación anual;2007;22;2007-09-30;8,5;226,9231
IPV921;Asturias, Principado de;General;Variación anual;2007;21;2007-06-30;10,8;27,0588
IPV921;Asturias, Principado de;General;Variación anual;2007;20;2007-03-31;13,5;25,0
IPV921;Asturias, Principado de;General;Variación anual;2007;19;2006-12-31;15,8;17,037
IPV920;Asturias, Principado de;General;Variación en lo que va de año;2007;22;2007-09-30;8,5;-46,2025
IPV920;Asturias, Principado de;General;Variación en lo que va de año;2007;21;2007-06-30;8,5;0,0
IPV920;Asturias, Principado de;General;Variación en lo que va de año;2007;20;2007-03-31;6,1;-28,2353
IPV920;Asturias, Principado de;General;Variación en lo que va de año;2007;19;2006-12-31;2,6;-57,377
IPV759;Asturias, Principado de;Vivienda nueva;Índice;2007;22;2007-09-30;134,93;5089,6154
IPV759;Asturias, Principado de;Vivienda nueva;Índice;2007;21;2007-06-30;132,2;-2,0233
IPV759;Asturias, Principado de;Vivienda nueva;Índice;2007;20;2007-03-31;128,09;-3,1089
IPV759;Asturias, Principado de;Vivienda nueva;Índice;2007;19;2006-12-31;123,96;-3,2243
IPV919;Asturias, Principado de;Vivienda nueva;Variación trimestral;2007;22;2007-09-30;2,1;-98,3059
IPV919;Asturias, Principado de;Vivienda nueva;Variación trimestral;2007;21;2007-06-30;3,2;52,381
IPV919;Asturias, Principado de;Vivienda nueva;Variación trimestral;2007;20;2007-03-31;3,3;3,125
IPV919;Asturias, Principado de;Vivienda nueva;Variación trimestral;2007;19;2006-12-31;2,8;-15,1515
IPV918;Asturias, Principado de;Vivienda nueva;Variación anual;2007;22;2007-09-30;11,9;325,0
IPV918;Asturias, Principado de;Vivienda nueva;Variación anual;2007;21;2007-06-30;12,4;4,2017
IPV918;Asturias, Principado de;Vivienda nueva;Variación anual;2007;20;2007-03-31;14,7;18,5484
IPV918;Asturias, Principado de;Vivienda nueva;Variación anual;2007;19;2006-12-31;15,2;3,4014
IPV917;Asturias, Principado de;Vivienda nueva;Variación en lo que va de año;2007;22;2007-09-30;11,9;-21,7105
IPV917;Asturias, Principado de;Vivienda nueva;Variación en lo que va de año;2007;21;2007-06-30;9,7;-18,4874
IPV917;Asturias, Principado de;Vivienda nueva;Variación en lo que va de año;2007;20;2007-03-31;6,3;-35,0515
IPV917;Asturias, Principado de;Vivienda nueva;Variación en lo que va de año;2007;19;2006-12-31;2,8;-55,5556
IPV758;Asturias, Principado de;Vivienda segunda mano;Índice;2007;22;2007-09-30;159,4;5592,8571
IPV758;Asturias, Principado de;Vivienda segunda mano;Índice;2007;21;2007-06-30;163,04;2,2836
IPV758;Asturias, Principado de;Vivienda segunda mano;Índice;2007;20;2007-03-31;161,25;-1,0979
IPV758;Asturias, Principado de;Vivienda segunda mano;Índice;2007;19;2006-12-31;155,57;-3,5225
IPV916;Asturias, Principado de;Vivienda segunda mano;Variación trimestral;2007;22;2007-09-30;-2,2;-101,4142
IPV916;Asturias, Principado de;Vivienda segunda mano;Variación trimestral;2007;21;2007-06-30;1,1;-150,0
IPV916;Asturias, Principado de;Vivienda segunda mano;Variación trimestral;2007;20;2007-03-31;3,7;236,3636
IPV916;Asturias, Principado de;Vivienda segunda mano;Variación trimestral;2007;19;2006-12-31;2,3;-37,8378
